Table;Column Name;Data Type;Extra;PK;FK;FK Table.column;Null;Default;Unique;spListar_Select_Column;spListar_Filter_Column;spListar_Select_JOIN_Column_Name;Description;Validate;Note
menus;menuid;int(11);AUTO_INCREMENT;True;;;False;;;TRUE;FALSE;;;;
menus;menupadre;int(11);;;;;True;NULL;;TRUE;TRUE;;Menu superior para dise�ar la estructura de los men�s tipo Arbol;;
menus;menudesc;varchar(100);;;;;False;;True;TRUE;TRUE;;El nombre del menu debe ser unico.;;
menus;menuform;varchar(100);;;;;False;;True;TRUE;FALSE;;Archivo PHP. Debe ser unico;True;This refers to the PHP file to display to the user
menus;menunvlord;int(4);;;;;False;0;;TRUE;FALSE;;Order in which the menu is ordered;;
menus;menuicono;varchar(50);;;;;False;;;TRUE;FALSE;;Icon name;;
menus;menuactivo;tinyint(1);;;;;False;1;;TRUE;TRUE;;Si esta activo el registro;;0: FALSE - 1: TRUE
perfiles;perfilid;int(11);AUTO_INCREMENT;True;;;False;;;TRUE;FALSE;;;;
perfiles;perfildesc;varchar(100);;;;;False;;True;TRUE;TRUE;;El nombre del perfil debe ser unico.;True;
perfiles;perfilesroot;tinyint(1);;;;;False;0;True;TRUE;TRUE;;Solo puede haber un perfil ROOT;True;
perfiles;perfilesadmin;tinyint(1);;;;;False;0;True;TRUE;TRUE;;Solo puede haber un perfil Admin;True;
perfiles;perfilactivo;tinyint(1);;;;;False;1;;TRUE;TRUE;;Si esta activo el registro;;
perfilesmenus;perfilid;int(11);;True;True;perfiles.perfilid;False;;;TRUE;TRUE;perfiles.perfildesc;;;
perfilesmenus;menuid;int(11);;True;True;menus.menuid;False;;;TRUE;TRUE;menus.menudesc;;;
perfilesmenus;perfilmenuactivo;tinyint(1);;;;;False;1;;TRUE;TRUE;;;;
erptokenactivo;access_token;varchar(50);;;;;False;;;TRUE;FALSE;;;;
erptokenactivo;generado;datetime;on update current_timestamp();;;;False;CURRENT_TIMESTAMP;;TRUE;FALSE;;;;
empresas;empresaid;int(11);AUTO_INCREMENT;True;;;False;;;TRUE;FALSE;;;;
empresas;empresacod;varchar(12);;;;;False;;;FALSE;FALSE;;Lo mismo que el Rut;;Por ahora se usuar� lo mismo que el Rut, pero si m�s adelante hay una definici�n diferente, se puede modificar este dato
empresas;empresarut;varchar(12);;;;;False;;True;TRUE;TRUE;;;;
empresas;razonsocial;varchar(100);;;;;False;;;TRUE;TRUE;;;;
empresas;giro;varchar(100);;;;;False;;;TRUE;TRUE;;;;
empresas;empresaemail;varchar(100);;;;;False;;;TRUE;TRUE;;;True;Requerido para crear el usuario con el Rut de la empresa
empresas;contactonombre;varchar(100);;;;;False;;;TRUE;TRUE;;;;
empresas;contactoemail;varchar(100);;;;;False;;;TRUE;FALSE;;;;
empresas;contactocelular;varchar(12);;;;;False;;;TRUE;FALSE;;;;
empresas;empresaiderp;varchar(50);;;;;False;;;TRUE;FALSE;;Columna que se usa para la integraci�n;;
empresas;empapikeyhash;varchar(255);;;;;False;;;FALSE;FALSE;;;;
empresas;empapikeyactiva;tinyint(1);;;;;False;1;;TRUE;FALSE;;;;
empresas;empapikeyfechagen;datetime;;;;;False;;;TRUE;FALSE;;;;
empresas;empapikeyultuso;datetime;;;;;False;;;TRUE;FALSE;;Fecha Hora ultimo uso;;
empresas;empapikeyipultuso;varchar(50);;;;;False;;;TRUE;FALSE;;IP ultimo uso;;
empresas;empresaactivo;tinyint(1);;;;;False;1;;TRUE;TRUE;;Si esta activo el registro;;
usuarios;usuarioid;int(11);AUTO_INCREMENT;True;;;False;;;TRUE;FALSE;;;;
usuarios;usuariocod;varchar(12);;;;;False;;;FALSE;FALSE;;Usado en el Login;True;Se debe validar que exista y/o este vigente
usuarios;usuariorut;varchar(12);;;;;False;;True;TRUE;TRUE;;;;
usuarios;usuarionombre;varchar(100);;;;;False;;;TRUE;TRUE;;;;
usuarios;usuariopwdhash;varchar(255);;;;;False;;;FALSE;FALSE;;Contrase�a encriptada;;
usuarios;usuarioemail;varchar(100);;;;;False;;;TRUE;TRUE;;;;
usuarios;usuariocelular;varchar(12);;;;;False;;;TRUE;FALSE;;;;
usuarios;perfilid;int(11);;;True;perfiles.perfilid;False;;;TRUE;TRUE;perfiles.perfildesc;;;
usuarios;empresaiddefault;int(11);;;True;empresas.empresaid;False;;;TRUE;FALSE;empresas.razonsocial;Una empresa default asociada al usuario para el Login;;
usuarios;usuarioesroot;tinyint(1);;;;;False;0;True;FALSE;FALSE;;Solo puede haber un usuario ROOT;True;
usuarios;usuarioesadmin;tinyint(1);;;;;False;0;;TRUE;TRUE;;;;
usuarios;usuariobloqueado;tinyint(1);;;;;False;0;;TRUE;TRUE;;;;
usuarios;usuariobloqueadodesc;varchar(100);;;;;False;;;TRUE;FALSE;;;;
usuarios;usuarioapikeyhash;varchar(255);;;;;False;;;FALSE;FALSE;;;;
usuarios;usuarioapikeyactiva;tinyint(1);;;;;False;1;;TRUE;FALSE;;;;
usuarios;usuarioapikeyfechagen;datetime;;;;;False;;;TRUE;FALSE;;;;
usuarios;usuarioapikeyultuso;datetime;;;;;False;;;TRUE;FALSE;;;;
usuarios;usuarioapikeyipultuso;varchar(50);;;;;False;;;TRUE;FALSE;;;;
usuarios;usuarioactivo;tinyint(1);;;;;False;1;;TRUE;TRUE;;;;
